Equipo,Codigo,Asociacion,Ranking
Brazil,BRA,CONMEBOL,1
Belgium,BEL,UEFA,2
Argentina,ARG,CONMEBOL,3
France,FRA,UEFA,4
England,ENG,UEFA,5
Italy,ITA,UEFA,6
Spain,ESP,UEFA,7
Netherlands,NED,UEFA,8
Portugal,POR,UEFA,9
Denmark,DEN,UEFA,10
Germany,GER,UEFA,11
Croatia,CRO,UEFA,12
Mexico,MEX,CONCACAF,13
Uruguay,URU,CONMEBOL,14
Switzerland,SUI,UEFA,15
United States,USA,CONCACAF,16
Colombia,COL,CONMEBOL,17
Senegal,SEN,CAF,18
Wales,WAL,UEFA,19
IR Iran,IRN,AFC,20
Serbia,SRB,UEFA,21
Morocco,MAR,CAF,22
Peru,PER,CONMEBOL,23
Japan,JPN,AFC,24
Sweden,SWE,UEFA,25
Poland,POL,UEFA,26
Ukraine,UKR,UEFA,27
Korea Republic,KOR,AFC,28
Chile,CHI,CONMEBOL,29
Tunisia,TUN,CAF,30
Costa Rica,CRC,CONCACAF,31
Nigeria,NGA,CAF,32
Russia,RUS,UEFA,33
Austria,AUT,UEFA,34
Czechia,CZE,UEFA,35
Hungary,HUN,UEFA,36
Algeria,ALG,CAF,37
Australia,AUS,AFC,38
Egypt,EGY,CAF,39
Scotland,SCO,UEFA,40
Canada,CAN,CONCACAF,41
Norway,NOR,UEFA,42
Cameroon,CMR,CAF,43
Ecuador,ECU,CONMEBOL,44
Türkiye,TUR,UEFA,45
Mali,MLI,CAF,46
Paraguay,PAR,CONMEBOL,47
Côte d'Ivoire,CIV,CAF,48
Republic of Ireland,IRL,UEFA,49
Qatar,QAT,AFC,50
Saudi Arabia,KSA,AFC,51
Greece,GRE,UEFA,52
Romania,ROU,UEFA,53
Burkina Faso,BFA,CAF,54
Slovakia,SVK,UEFA,55
Finland,FIN,UEFA,56
Venezuela,VEN,CONMEBOL,57
Bosnia and Herzegovina,BIH,UEFA,58
Northern Ireland,NIR,UEFA,59
Panama,PAN,CONCACAF,60
Ghana,GHA,CAF,61
Iceland,ISL,UEFA,62
Slovenia,SVN,UEFA,63
Jamaica,JAM,CONCACAF,64
North Macedonia,MKD,UEFA,65
Albania,ALB,UEFA,66
South Africa,RSA,CAF,67
Iraq,IRQ,AFC,68
Montenegro,MNE,UEFA,69
